id,Smiles
164,NCC(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccc(-c3ccccc3)cc2)c1
165,CCOc1cc(C(C)(C)C)ccc1C1=NC(c2ccc(Cl)cc2)C(c2ccc(Cl)cc2)N1C(=O)N1CCN(Cc2ccc(C(=O)NO)cc2)CC1
166,COC(c1cc(Cl)c2c(c1Cl)C(=O)N(Cc1c(C)cc(C)[nH]c1=O)CC2)C1CCN(C)CC1
167,COc1cc2c(NCC3CCN(c4ccc(C(=O)NO)cc4)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1
168,CCC(=O)Nc1cccc(-c2c[nH]cc2CN(C)CCN)c1
169,O=C(NO)c1cccc2c1CCN(c1nc3ccccc3[nH]1)C2
170,COc1ccc(C(=O)N[C@H](COc2ccc(C(=O)Nc3ccccc3N)cc2)Cc2c[nH]c3ccccc23)cc1
171,Cc1cn2c(n1)CCN(Cc1cc(C(=O)O)ccn1)CC2
172,CCCC[C@H]1NC(=O)C[C@H]2/C=C/CCSSC[C@@H](NC1=O)C(=O)N[C@H]([C@@H](C)CC)[C@@H](O)CC(=O)O2
173,CNCCN(C)Cc1cnn(C)c1-c1ccc(OC(C)C)c(Cl)c1
174,Cc1cc(Cl)ccc1COc1ccnn1-c1cc(C(=O)O)ccn1
175,NC(=O)c1ccc2c(c1)CCc1ccccc1N2
176,CN1CCN(C2c3ccccc3Oc3ccccc32)CC1
177,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2cc(OC)c(OC)c(OC)c2)n1
178,O=C(c1ccc(C(=O)N2CCC(C3CCCN3)CC2)cc1)N1CCC(C2CCCN2)CC1
179,Cc1noc(C)c1-c1ccc2nc(C(=O)NC3CCOCC3)nc(NCc3cccc(Cl)c3)c2c1
180,COCC1(c2ccc(-c3c(-c4cc(C(=O)O)ccn4)ncn3C)cc2)CC1
181,Cc1ccc(Cn2cc(CSC(=S)N3CCN(c4ncccn4)CC3)nn2)cc1
